trade_id,entry_timestamp,exit_timestamp,entry_zscore,entry_signal,entry_beta,entry_spread,direction,position_usdt,leg_a_usdt,leg_b_usdt,kelly_fraction,signal_strength,stop_zscore,target_zscore,min_hold_hours,exit_zscore,exit_reason,hours_held,partial_pnl_usdt,gross_pnl_pct,fee_cost_pct,net_pnl_pct,net_pnl_usdt,max_adverse_zscore,max_favorable_zscore,prediction_error_at_entry,beta_uncertainty_at_entry,is_winner
148,2024-04-27 01:00:00+00:00,2024-04-28 05:00:00+00:00,-2.2868,2.2868,1.0536,-0.018617,LONG_SPREAD,259.86,126.54,133.32,0.0455,NORMAL,3.7868,0.2287,27.44,0.4832,TARGET,28.0,3.17,0.022208,0.003,0.019208,8.16,0.7875,-2.2868,-0.018617,0.003595,True
149,2024-04-29 13:00:00+00:00,2024-04-30 17:00:00+00:00,2.3222,-2.3222,1.0545,0.017919,SHORT_SPREAD,263.89,128.44,135.44,0.0455,NORMAL,3.8222,-0.2322,27.87,-2.2932,TARGET,28.0,2.84,0.037822,0.003,0.034822,12.03,-2.2932,3.3844,0.017919,0.003737,True
150,2024-04-30 18:00:00+00:00,2024-04-30 22:00:00+00:00,-2.5201,2.5201,1.0617,-0.021213,LONG_SPREAD,572.74,277.8,294.95,0.0455,NORMAL,4.0201,0.252,30.24,-5.0,STOPLOSS,4.0,0.0,-0.035164,0.003,-0.038164,-21.86,-2.5201,-5.0,-0.021213,0.003804,False
151,2024-04-30 23:00:00+00:00,2024-05-03 12:00:00+00:00,-5.0,5.0,1.0243,-0.054846,LONG_SPREAD,454.55,224.54,230.0,0.0455,STRONG,5.0,0.5,60.0,1.9522,TARGET,61.0,21.1,0.078205,0.003,0.075205,55.29,3.7977,-5.0,-0.054846,0.003643,True
152,2024-05-04 18:00:00+00:00,2024-05-06 12:00:00+00:00,2.7261,-2.7261,1.0081,0.030079,SHORT_SPREAD,309.79,154.27,155.52,0.0455,NORMAL,4.2261,-0.2726,32.71,-0.6675,TARGET,42.0,5.8,0.039135,0.003,0.036135,16.99,-2.9251,3.3533,0.030079,0.003456,True
153,2024-05-08 15:00:00+00:00,2024-05-10 00:00:00+00:00,-2.7102,2.7102,0.9548,-0.03234,LONG_SPREAD,307.98,157.55,150.43,0.0455,NORMAL,4.2102,0.271,32.52,0.7114,TARGET,33.0,6.1,0.040546,0.003,0.037546,17.66,1.25,-2.7102,-0.03234,0.003397,True
154,2024-05-15 09:00:00+00:00,2024-05-16 14:00:00+00:00,2.1561,-2.1561,0.9701,0.023672,SHORT_SPREAD,245.01,124.37,120.65,0.0455,NORMAL,3.6561,-0.2156,25.87,-0.2599,TARGET,29.0,4.87,0.027334,0.003,0.024334,10.84,-0.2638,2.1561,0.023672,0.00385,True
155,2024-05-17 06:00:00+00:00,2024-05-18 18:00:00+00:00,2.9261,-2.9261,0.9837,0.033706,SHORT_SPREAD,332.51,167.62,164.88,0.0455,NORMAL,4.4261,-0.2926,35.11,-0.6646,TARGET,36.0,8.55,0.042192,0.003,0.039192,21.58,-0.986,4.4194,0.033706,0.003756,True
156,2024-05-21 05:00:00+00:00,2024-05-22 12:00:00+00:00,2.5814,-2.5814,1.0318,0.031659,SHORT_SPREAD,293.34,144.37,148.96,0.0455,NORMAL,4.0814,-0.2581,30.98,-1.1238,TARGET,31.0,5.4,0.042331,0.003,0.039331,16.94,-1.1238,2.5814,0.031659,0.003674,True
157,2024-05-28 03:00:00+00:00,2024-05-29 12:00:00+00:00,-2.0334,2.0334,1.0237,-0.016043,LONG_SPREAD,231.07,114.18,116.88,0.0455,NORMAL,3.5334,0.2033,24.4,0.2953,TARGET,33.0,1.68,0.019447,0.003,0.016447,5.48,0.9102,-2.3352,-0.016043,0.003917,True
